incident_zip,complaint_count,population,complaints_per_1000
10001,18,29079.0,0.6190034045187248
10002,24,75517.0,0.31780923500668723
10003,97,53825.0,1.8021365536460752
10004,3,3875.0,0.7741935483870968
10005,2,9238.0,0.21649707728945658
10006,1,4475.0,0.223463687150838
10007,12,7802.0,1.5380671622660858
10009,52,58341.0,0.8913114276409386
10010,54,31905.0,1.692524682651622
10011,50,49344.0,1.013294422827497
10012,28,21846.0,1.2816991668955415
10013,74,28215.0,2.6227184121920963
10014,60,29772.0,2.015316404675534
10016,117,54297.0,2.1548151831592905
10017,18,14985.0,1.2012012012012012
10018,18,8764.0,2.0538566864445458
10019,31,44276.0,0.7001535820760684
10021,74,39479.0,1.8744142455482662
10022,39,34340.0,1.135701805474665
10023,239,67468.0,3.5424201102745005
10024,383,62576.0,6.120557402198926
10025,541,93223.0,5.803288887935381
10026,48,37113.0,1.2933473445962331
10027,86,65068.0,1.3216942275773038
10028,38,45679.0,0.8318921167275991
10029,33,74848.0,0.44089354424967936
10030,24,30781.0,0.7797017640752412
10031,50,60305.0,0.8291186468783682
10032,65,55579.0,1.16950646827039
10033,37,53611.0,0.6901568707914421
10034,29,39037.0,0.742884955298819
10035,24,39082.0,0.6140934445524794
10036,23,30589.0,0.7519042793160939
10037,3,18333.0,0.16363933889707086
10038,23,23342.0,0.9853482992031531
10039,8,30512.0,0.26219192448872575
10040,13,41581.0,0.3126427935836079
10065,52,31047.0,1.674880020613908
10069,3,6669.0,0.449842555105713
10075,26,23865.0,1.0894615545778337
10107,1,,
10128,79,59000.0,1.3389830508474578
10301,100,39799.0,2.512625945375512
10302,44,19693.0,2.2342964505154117
10303,43,25993.0,1.6542915400300082
10304,88,45843.0,1.919595139934123
10305,94,41714.0,2.253440092055425
10306,108,57249.0,1.8864958339883666
10307,49,14821.0,3.306119695027326
10308,71,29996.0,2.3669822643019067
10309,80,34918.0,2.2910819634572426
10310,73,25824.0,2.8268277571251548
10312,100,63345.0,1.5786565632646619
10314,177,93539.0,1.8922588439046815
10451,29,48975.0,0.5921388463501788
10452,43,76745.0,0.5602970877581602
10453,29,78270.0,0.37051232911715853
10454,29,40368.0,0.7183908045977011
10455,37,42940.0,0.8616674429436423
10456,61,86958.0,0.70148807470273
10457,45,79375.0,0.5669291338582678
10458,58,78741.0,0.7365921184643324
10459,89,49753.0,1.7888368540590518
10460,63,61101.0,1.0310796877301518
10461,87,50900.0,1.7092337917485265
10462,69,75452.0,0.9144886815458835
10463,206,69373.0,2.9694549752785666
10464,31,4273.0,7.254856073016616
10465,111,46457.0,2.3893062401790903
10466,157,74061.0,2.11987415778885
10467,66,96304.0,0.6853297890014952
10468,25,79825.0,0.3131850923896023
10469,217,69855.0,3.1064347577124045
10470,80,15558.0,5.142049106568968
10471,183,23400.0,7.820512820512821
10472,53,63820.0,0.8304606706361642
10473,58,59778.0,0.9702566161464083
10474,8,11188.0,0.7150518412584912
10475,11,42771.0,0.2571836057141521
11001,9,25714.0,0.35000388893209927
11004,25,14296.0,1.7487409065472859
11040,12,42344.0,0.28339316077838655
11101,111,39007.0,2.8456430897018485
11102,180,28349.0,6.349430315002293
11103,63,35357.0,1.781825381112651
11104,82,26825.0,3.0568499534016773
11105,185,38507.0,4.804321292232581
11106,115,40657.0,2.8285412106156382
11201,445,69251.0,6.425899987003798
11203,334,76853.0,4.3459591688027785
11204,184,81368.0,2.2613312358666797
11205,244,50205.0,4.860073697838861
11206,384,89231.0,4.303437146283243
11207,279,93445.0,2.9857135213227033
11208,315,106901.0,2.946651574821564
11209,113,70756.0,1.5970377070495787
11210,133,60398.0,2.202059670850028
11211,975,65691.0,14.842215828652327
11212,80,87946.0,0.9096491028585724
11213,174,69630.0,2.4989228780697976
11214,232,88994.0,2.6069173202687823
11215,728,70922.0,10.26479794704041
11216,289,59913.0,4.823660975080533
11217,347,42569.0,8.151471728252956
11218,372,71313.0,5.216440200243995
11219,107,94737.0,1.1294425620401745
11220,414,90792.0,4.559873116574148
11221,284,90750.0,3.1294765840220387
11222,1321,41418.0,31.89434545366749
11223,108,78566.0,1.374640429702416
11224,30,48469.0,0.618952320039613
11225,154,56544.0,2.72354272778721
11226,232,100022.0,2.3194897122633025
11228,110,42325.0,2.598936798582398
11229,143,79802.0,1.7919350392220748
11230,333,88252.0,3.773285591261388
11231,389,39704.0,9.797501511182752
11232,237,26681.0,8.882725535024925
11233,272,82711.0,3.2885589583005888
11234,178,87778.0,2.027842967486158
11235,104,81958.0,1.2689426291515167
11236,157,95174.0,1.6496101876562927
11237,80,45233.0,1.7686202551234718
11238,396,58462.0,6.773630734494201
11239,15,16047.0,0.9347541596560105
11242,1,,
11249,320,45353.0,7.055762573589399
11354,111,52325.0,2.1213569039655993
11355,105,79802.0,1.315756497330894
11356,29,26956.0,1.0758272740762724
